"id";"category";"message";"location";"hash"
190;"app";"Для подтверждения адреса и первичной авторизации пройдите по ссылке";"[""common/mail/confirm-email.php""]";"bbbf1a6213b26440ece96aae93030f3d"
192;"app";"Ошибка!";"[""common/widgets/GetCsv/controllers/CsvManagerController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
193;"app";"У вас недостаточно прав.";"[""common/widgets/GetCsv/controllers/CsvManagerController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
194;"app";"Включите разширение PHP ""zip"" или установите ZipArchive на сервере.";"[""common/widgets/GetCsv/controllers/CsvManagerController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
195;"app";"Модели не переданы.";"[""common/widgets/GetCsv/controllers/CsvManagerController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
196;"app";"Выберите город";"[""common/widgets/Fields/FieldCity.php""]";"bbbf1a6213b26440ece96aae93030f3d"
198;"app";"Создать папку";"[""common/widgets/JsTreeWidget/FoldersJsTreeWidget.php""]";"bbbf1a6213b26440ece96aae93030f3d"
199;"app";"Просмотр папки";"[""common/widgets/JsTreeWidget/FoldersJsTreeWidget.php""]";"bbbf1a6213b26440ece96aae93030f3d"
200;"app";"Изменить папку";"[""common/widgets/JsTreeWidget/FoldersJsTreeWidget.php""]";"bbbf1a6213b26440ece96aae93030f3d"
201;"app";"Удалить папку";"[""common/widgets/JsTreeWidget/FoldersJsTreeWidget.php""]";"bbbf1a6213b26440ece96aae93030f3d"
202;"app";"Отсутствуют обязательные свойства ""getRootUrl"" или ""getChildUrl"" или массив элементов ""items"".";"[""common/widgets/JsTreeWidget/views/folders-and-elements.php""]";"bbbf1a6213b26440ece96aae93030f3d"
203;"app";"Отсутствуюет массив элементов ""items"".";"[""common/widgets/JsTreeWidget/views/folders.php""]";"bbbf1a6213b26440ece96aae93030f3d"
204;"app";"Если Вы не регистрировались на нашем сайте, то просто удалите это письмо.";"[""common/mail/confirm-email.php""]";"bbbf1a6213b26440ece96aae93030f3d"
206;"app";"Успешно";"[""backend/modules/user/controllers/ManageController.php"",""backend/modules/user/controllers/ManageController.php"",""backend/modules/user/controllers/ManageController.php"",""backend/modules/document/controllers/TemplateManageController.php"",""backend/modules/document/controllers/TemplateManageController.php"",""backend/modules/document/controllers/TemplateManageController.php"",""backend/modules/document/controllers/FolderManageController.php"",""backend/modules/document/controllers/FolderManageController.php"",""backend/modules/document/controllers/FolderManageController.php"",""backend/modules/document/controllers/FieldManageController.php"",""backend/modules/document/controllers/FieldManageController.php"",""backend/modules/document/controllers/FieldManageController.php"",""backend/modules/document/controllers/ElementManageController.php"",""backend/modules/document/controllers/ElementManageController.php"",""backend/modules/document/controllers/ElementManageController.php"",""backend/modules/document/controllers/ElementManageController.php"",""backend/modules/i18n/controllers/ManageController.php"",""backend/modules/role/controllers/ManageController.php"",""backend/modules/role/controllers/ManageController.php"",""backend/modules/role/controllers/ManageController.php"",""backend/modules/role/controllers/ManageController.php"",""backend/modules/role/controllers/ManageController.php"",""backend/modules/role/controllers/ManageController.php"",""backend/modules/role/controllers/ManageController.php"",""backend/modules/role/controllers/ManageController.php"",""backend/modules/role/controllers/ManageController.php"",""common/widgets/Basket/controllers/BmController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
207;"app";"Вход на сайт";"[""backend/modules/user/views/auth/login.php""]";"bbbf1a6213b26440ece96aae93030f3d"
208;"app";"Авторизуйтесь, чтобы перейти к панели управления сайтом.";"[""backend/modules/user/views/auth/login.php""]";"bbbf1a6213b26440ece96aae93030f3d"
209;"app";"Удалить пользователя?";"[""backend/modules/user/views/manage/confirm-delete-user.php""]";"bbbf1a6213b26440ece96aae93030f3d"
210;"app";"Да";"[""backend/modules/user/views/manage/confirm-delete-user.php"",""backend/modules/document/views/element-manage/confirm-delete-element.php"",""backend/modules/document/views/template-manage/confirm-delete-template.php"",""backend/modules/document/views/folder-manage/confirm-delete-folder.php"",""backend/modules/document/views/field-manage/confirm-delete-field.php"",""backend/modules/document/views/field-manage/view-field.php"",""backend/modules/document/views/field-manage/view-field.php"",""backend/modules/role/views/manage/confirm-delete-auth-rule.php"",""backend/modules/role/views/manage/confirm-delete-auth-item.php"",""backend/modules/role/views/manage/confirm-delete-auth-item-child.php""]";"bbbf1a6213b26440ece96aae93030f3d"
